Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Rainier Beach,9220 Renton Ave S,Seattle,WA,98118,1926,2,No visible retrofit,Other Mixed Uses,11-100,Permit Drawing Review,POINT (-122.272494 47.520125)
Critical Risk,Judkins Park,620 20th Ave S,Seattle,WA,98144,1922,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.30632700000001 47.597069)
Medium Risk,Duwamish/SODO,3909 Airport Way S,Seattle,WA,98108,1908,2,No visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.32269399999998 47.568567)
Medium Risk,Miller Park,400 15th Ave E,Seattle,WA,98112,1920,2,Visible retrofit,Office,11-100,Photos from Previous Surveys,POINT (-122.31266500000001 47.622078)
Medium Risk,West Seattle Junction/Genesee Hill,4410 California Ave SW,Seattle,WA,98116,1910,1,No visible retrofit,Commercial,1-10,Permit Drawing Review,POINT (-122.386784 47.564383)
Medium Risk,Green Lake,316 NE 72nd St,Seattle,WA,98115,1930,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.32527300000001 47.680397)
Medium Risk,Univ Dist,1915 NE Chelan Ln,Seattle,WA,98105,1947,3,No visible retrofit,Public Assembly,11-100,University of Washington Facilities List,
Medium Risk,Univ Dist,4530 University Way NE,Seattle,WA,98105,1926,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31311600000001 47.662215)
High Risk,Downtown,1510 1st Ave,Seattle,WA,98101,1923,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.34029399999999 47.609102)
Critical Risk,Rainier Beach,9709 60th Ave S,Seattle,WA,98118,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.25818600000001 47.514691)
Medium Risk,Capitol Hill,500 E Pike St,Seattle,WA,98122,1924,2,Permitted Retrofit,Commercial,11-100,Google Street View-Rosettes,POINT (-122.32518800000001 47.614086)
Medium Risk,Queen Anne,107 1st Ave N,Seattle,WA,98109,1908,4,No visible retrofit,Residential,101+,Photos from Previous Surveys,POINT (-122.35545399999998 47.618841)
Critical Risk,Madison Park,1617 38th Ave E,Seattle,WA,98112,1913,3,Permitted Retrofit,Schools,101+,Field Visit,POINT (-122.284071 47.633991)
Medium Risk,Ballard,5229 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.38282999999998 47.666135)
Medium Risk,Belltown,1929 3rd Ave,Seattle,WA,98101,1914,3,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.34053100000001 47.61217)
Medium Risk,Ravenna/Bryant,4600 22nd Ave NE,Seattle,WA,98105,1927,3,No visible retrofit,Residential,11-100,White Card Permit Records,POINT (-122.304413 47.662126)
Medium Risk,First Hill,550 12th Ave,Seattle,WA,98122,1920,1,No visible retrofit,Commercial,11-100,,POINT (-122.31679300000002 47.60684)
Medium Risk,Ballard,5129 Ballard Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.38170999999998 47.665139)
Medium Risk,Northgate/Maple Leaf,1020 NE 82nd St,Seattle,WA,98115,0,1,No visible retrofit,Government,1-10,,POINT (-122.315604 47.688557)
High Risk,Central Area/Squire Park,1631 16th Ave,Seattle,WA,98122,1929,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.311451 47.616114)
Medium Risk,Duwamish/SODO,2424 1st Ave S,Seattle,WA,98134,1918,1,Permitted Retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.33421999999999 47.581018)
Medium Risk,First Hill,804 9th Ave,Seattle,WA,98104,1910,3,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.326222 47.607208)
Medium Risk,Belltown,2423 1st Ave,Seattle,WA,98121,1909,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.34856800000001 47.614572)
Medium Risk,Beacon Hill,5710 Airport Way S,Seattle,WA,98108,1914,2,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.318879 47.551223)
Medium Risk,Belltown,1921 3rd Ave,Seattle,WA,98101,1910,6,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.340346 47.612063)
Medium Risk,Cascade/Eastlake,433 Eastlake Ave E,Seattle,WA,98109,1918,2,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.329144 47.622963)
Medium Risk,Capitol Hill,1619 Belmont Ave,Seattle,WA,98122,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32448200000002 47.615812)
Medium Risk,Belltown,2136 1st Ave,Seattle,WA,98121,1925,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.345072 47.612508)
Medium Risk,Capitol Hill,1736 Belmont Ave,Seattle,WA,98122,1923,7,No visible retrofit,Residential,101+,Google Street View,POINT (-122.324492 47.617459)
Medium Risk,Pioneer Square/Chinatown International District,122 S Jackson St,Seattle,WA,98104,1900,3,Visible retrofit,Commercial,101+,Field Visit,POINT (-122.333276 47.599211000000004)
Medium Risk,Alki/Admiral,2306 42nd Ave SW,Seattle,WA,98116,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys,POINT (-122.385112 47.582703)
Medium Risk,Univ Dist,4747 University Way NE,Seattle,WA,98105,1921,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.31308500000002 47.664434)
Medium Risk,Queen Anne,1529 4th Ave W,Seattle,WA,98119,1921,3,Substantial Alteration,Industrial,11-100,Google Street View,POINT (-122.362362 47.633284)
Medium Risk,Capitol Hill,300 Broadway E,Seattle,WA,98102,1909,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.32091000000001 47.621271)
High Risk,Georgetown,5800 4th Ave S,Seattle,WA,98108,1938,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.32959200000002 47.550836)
Medium Risk,Cedar Park/Meadowbrook,10228 Fisher Pl NE,Seattle,WA,98125,1929,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.30152099999998 47.702284)
High Risk,Pioneer Square/Chinatown International District,217 2nd Ave S,Seattle,WA,98104,1900,4,Visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.331596 47.600754)
Medium Risk,Capitol Hill,1305 E Denny Way,Seattle,WA,98122,1922,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.315228 47.618793000000004)
Medium Risk,Duwamish/SODO,3220 1st Ave S,Seattle,WA,98134,1918,2,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.334203 47.575325)
Medium Risk,Cascade/Eastlake,1124 Eastlake Ave E,Seattle,WA,98109,1917,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.328804 47.629483)
Medium Risk,Queen Anne,406 W Garfield St,Seattle,WA,98119,1913,2,Visible retrofit,Government,11-100,Google Street View,POINT (-122.36273300000002 47.633531)
Medium Risk,Duwamish/SODO,3667 1st Ave S,Seattle,WA,98134,1948,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33421999999999 47.569319)
Critical Risk,Greenwood/Phinney Ridge,120 N 79th St,Seattle,WA,98117,1922,3,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.35694600000001 47.68621)
Medium Risk,North Capitol Hill,614 Broadway E,Seattle,WA,98102,1927,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.32096 47.62476)
High Risk,Univ Dist,4743 University Way NE,Seattle,WA,98105,1930,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.31308599999998 47.664329)
Medium Risk,Columbia City,4909 Rainier Ave S,Seattle,WA,98118,1906,2,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.284936 47.557606)
Medium Risk,Univ Dist,4200 University Way NE,Seattle,WA,98105,1916,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31320200000002 47.658503)
Critical Risk,Fauntleroy/Seaview,9131 California Ave SW,Seattle,WA,98136,1917,1,Permitted Retrofit,Schools,11-100,Permit Drawing Review,POINT (-122.38747600000002 47.521965)
Medium Risk,Univ Dist,4520 University Way NE,Seattle,WA,98105,1950,3,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.31311899999999 47.662051)
Medium Risk,Greenwood/Phinney Ridge,8550 Greenwood Ave N,Seattle,WA,98103,1928,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.355317 47.691415)
Critical Risk,Univ Dist,1417 NE 42nd St,Seattle,WA,98105,1922,3,No visible retrofit,Schools,101+,Google Street View,POINT (-122.31238300000001 47.658306)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1890,3,Substantial Alteration,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Queen Anne,209 W Olympic Pl,Seattle,WA,98119,1925,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.359692 47.62673)
Medium Risk,North Capitol Hill,933 11th Ave E,Seattle,WA,98102,1924,4,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.318063 47.628012)
High Risk,Pioneer Square/Chinatown International District,200 5th Ave S,Seattle,WA,98104,1910,5,Permitted Retrofit,Residential,101+,Google Street View,POINT (-122.327677 47.600706)
Medium Risk,First Hill,1218 Terry Ave,Seattle,WA,98101,1925,5,No visible retrofit,Office,101+,Google Street View,POINT (-122.32797799999999 47.610809)
Medium Risk,Greenwood/Phinney Ridge,7900 1st Ave NW,Seattle,WA,98103,1931,2,Substantial Alteration,Residential,11-100,History Link,POINT (-122.35795399999999 47.686582)
Medium Risk,Licton Springs,10333 Aurora Ave N,Seattle,WA,98133,1926,1,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.34475299999998 47.70419)
High Risk,Pioneer Square/Chinatown International District,111 1st Ave S,Seattle,WA,98104,1900,6,Permitted Retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.334263 47.601269)
Medium Risk,Queen Anne,522 Queen Anne Ave N,Seattle,WA,98109,1930,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.356719 47.623983)
Medium Risk,Queen Anne,7 Harrison St,Seattle,WA,98109,1908,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.35636299999999 47.622111)
Medium Risk,Cascade/Eastlake,320 Cedar St,Seattle,WA,98121,1908,3,Visible retrofit,Residential,101+,Google Street View,POINT (-122.348326 47.617624000000006)
Critical Risk,Whittier Heights,1810 NW 65th St,Seattle,WA,98117,1930,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.38050500000001 47.675986)
Medium Risk,Downtown,115 Cherry St,Seattle,WA,98104,1900,7,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.333993 47.602692)
Medium Risk,Queen Anne,900 Queen Anne Ave N,Seattle,WA,98109,1929,5,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.356731 47.627493)
Critical Risk,Montlake/Portage Bay,2515 Boylston Ave E,Seattle,WA,98102,1917,3,Permitted Retrofit,Schools,101+,Field Visit,POINT (-122.32348399999998 47.642597)
Medium Risk,Fremont,615 N 35th St,Seattle,WA,98103,1907,2,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.35039700000002 47.650594000000005)
High Risk,Downtown,1008 Western Ave,Seattle,WA,98104,1905,6,Visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.337702 47.604571)
High Risk,Duwamish/SODO,1022 1st Ave S,Seattle,WA,98134,1909,4,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.33424 47.593458)
Medium Risk,Downtown,1518 Pike Pl,Seattle,WA,98101,1910,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.34131 47.609139)
Medium Risk,Wallingford,4401 Wallingford Ave N,Seattle,WA,98103,1924,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.33618000000001 47.660467)
High Risk,Pioneer Square/Chinatown International District,164 S Washington St,Seattle,WA,98104,1900,1,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.33197 47.60089)
Medium Risk,Capitol Hill,400 Boylston Ave E,Seattle,WA,98102,1931,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.323061 47.622284)
Medium Risk,Ballard,5310 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.38349000000001 47.666716)
Medium Risk,Ballard,5337 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.384229 47.66727100000001)
Medium Risk,Capitol Hill,105 Harvard Ave E,Seattle,WA,98102,1928,5,No visible retrofit,Residential,101+,Google Street View,POINT (-122.32220400000001 47.618974)
Medium Risk,Capitol Hill,209 Broadway E,Seattle,WA,98102,1908,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.32088500000002 47.620205)
Medium Risk,Ballard,2056 NW Market St,Seattle,WA,98107,1925,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.384512 47.66870000000001)
High Risk,Pioneer Square/Chinatown International District,316 Occidental Ave S,Seattle,WA,98104,1900,5,Permitted Retrofit,Commercial/Office,101+,Field Visit,POINT (-122.33289300000001 47.599905)
Medium Risk,Capitol Hill,315 Summit Ave E,Seattle,WA,98102,1930,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.325331 47.621327)
Medium Risk,Miller Park,1608 E Republican St,Seattle,WA,98112,1922,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.310953 47.623248)
Medium Risk,Capitol Hill,225 Broadway E,Seattle,WA,98102,1940,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.320894 47.620718)
Medium Risk,Ballard,2301 NW Market St,Seattle,WA,98107,1928,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38658800000002 47.668702)
High Risk,First Hill,805 Marion St,Seattle,WA,98104,1920,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.327498 47.607378)
Medium Risk,Capitol Hill,517 E Pike St,Seattle,WA,98122,1910,2,Permitted Retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.324782 47.614089)
Medium Risk,Interbay,3202 15th Ave W,Seattle,WA,98119,1921,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.376153 47.649087)
Medium Risk,Cascade/Eastlake,310 Terry Ave N,Seattle,WA,98109,1915,2,Substantial Alteration,Commercial,101+,Permit Drawing Review,POINT (-122.33717700000001 47.621452)
Medium Risk,Ballard,5323 Ballard Ave NW,Seattle,WA,98107,1901,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.38388500000002 47.667042)
High Risk,Downtown,810 4th Ave,Seattle,WA,98104,1907,6,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.331924 47.605022)
Medium Risk,Capitol Hill,115 Belmont Ave E,Seattle,WA,98102,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.32401400000002 47.619063)
Medium Risk,Central Area/Squire Park,1412 18th Ave,Seattle,WA,98122,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.30885800000001 47.613189)
High Risk,Madrona/Leschi,3201 E Republican St,Seattle,WA,98112,1913,1,Permitted Retrofit,Public Assembly,101+,Sandborn Insurance Maps,POINT (-122.2904 47.623382)
Medium Risk,First Hill,823 Madison St,Seattle,WA,98104,1902,4,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.327672 47.608302)
Medium Risk,First Hill,1020 Seneca St,Seattle,WA,98101,1925,6,No visible retrofit,Residential,101+,Google Street View,POINT (-122.32697499999999 47.610526)
Medium Risk,Pioneer Square/Chinatown International District,315 Maynard Ave S,Seattle,WA,98104,1910,4,Permitted Retrofit,Residential,101+,Google Street View,POINT (-122.32506800000002 47.599534)
Medium Risk,First Hill,105 14th Ave,Seattle,WA,98122,1910,3,Permitted Retrofit,Office,101+,Google Street View,POINT (-122.314157 47.601859)
Medium Risk,Pioneer Square/Chinatown International District,1019 S Jackson St,Seattle,WA,98104,1932,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,POINT (-122.31879999999998 47.599198)
Medium Risk,Queen Anne,312 W Republican St,Seattle,WA,98119,1928,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.36114300000001 47.62329700000001)
Medium Risk,Capitol Hill,505 Boylston Ave E,Seattle,WA,98102,1930,5,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.323049 47.623377)
High Risk,Downtown,811 1st Ave,Seattle,WA,98104,1900,6,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.33529 47.60362800000001)
Medium Risk,Seward Park,7621 Rainier Ave S,Seattle,WA,98118,1920,1,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.26999400000001 47.534173)
High Risk,Judkins Park,104 17th Ave S,Seattle,WA,98144,1913,3,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.31026699999998 47.60166)
Medium Risk,Capitol Hill,906 E John St,Seattle,WA,98102,1924,6,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31995200000001 47.619925)
Medium Risk,Columbia City,5021 Rainier Ave S,Seattle,WA,98118,1924,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.284215 47.556534000000006)
Critical Risk,Madrona/Leschi,2712 S Jackson St,Seattle,WA,98144,1926,1,No visible retrofit,Schools,101+,Google Street View,POINT (-122.29660500000001 47.599229)
Medium Risk,Ballard,5424 Ballard Ave NW,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.385707 47.668232)
Medium Risk,Ballard,5443 Ballard Ave NW,Seattle,WA,98107,1906,2,Visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.386022 47.668435)
Medium Risk,Pioneer Square/Chinatown International District,207 2nd Ave S,Seattle,WA,98104,1900,1,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.33159300000001 47.600545)
Medium Risk,West Seattle Junction/Genesee Hill,4554 California Ave SW,Seattle,WA,98116,1929,2,No visible retrofit,Commercial/Office,11-100,White Card Permit Records,POINT (-122.38678099999998 47.561238)
Medium Risk,North Capitol Hill,921 11th Ave E,Seattle,WA,98102,1922,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.318056 47.627448)
Medium Risk,Capitol Hill,1501 E Olive Way,Seattle,WA,98122,1916,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.32607 47.617982)
Medium Risk,Miller Park,620 19th Ave E,Seattle,WA,98112,1907,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.30730899999999 47.624979)
Medium Risk,Pioneer Square/Chinatown International District,670 S Weller St,Seattle,WA,98104,1908,3,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.324132 47.597529)
High Risk,Pioneer Square/Chinatown International District,410 2nd Av Et S,Seattle,WA,98104,1900,3,Substantial Alteration,Public Assembly,101+,Photos from Previous Surveys,POINT (-122.33139 47.601068)
