Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Univ Dist,3900 Jefferson Rd NE,Seattle,WA,98195,1938,2,Permitted Retrofit,Industrial,1-10,University of Washington Facilities List,POINT (-122.30413500000002 47.652945)
Medium Risk,Queen Anne,2135 Queen Anne Ave N,Seattle,WA,98109,1947,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.35693399999998 47.63793)
Medium Risk,Downtown,1416 3rd Ave,Seattle,WA,98101,1902,3,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,POINT (-122.33717300000002 47.609054)
Medium Risk,Capitol Hill,1617 Boylston Ave,Seattle,WA,98122,1921,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.32342299999999 47.615831)
High Risk,Queen Anne,1608 4th Ave W,Seattle,WA,98119,1905,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.362375 47.633976)
Medium Risk,Alki/Admiral,1321 Harbor Ave SW,Seattle,WA,98116,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.38248700000001 47.591454000000006)
Medium Risk,North Delridge,3214 SW Spokane St,Seattle,WA,98126,1926,1,No visible retrofit,Government,1-10,Google Street View,POINT (-122.37392199999998 47.571949)
Medium Risk,Fauntleroy/Seaview,9251 45th Ave SW,Seattle,WA,98136,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.39028199999998 47.520481)
Medium Risk,Greenwood/Phinney Ridge,8558 Greenwood Ave N,Seattle,WA,98103,1928,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.35531800000001 47.691585)
Medium Risk,Belltown,1924 Post Al,Seattle,WA,98101,1906,5,Visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.34205299999999 47.610146)
Medium Risk,Wallingford,1723 N 45th St,Seattle,WA,98103,1926,2,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.336435 47.661381000000006)
High Risk,Duwamish/SODO,171 S Jackson St,Seattle,WA,98104,1900,5,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.33197300000002 47.599201)
Medium Risk,First Hill,1400 Boren Ave,Seattle,WA,98101,1925,4,No visible retrofit,Residential,101+,Field Visit,POINT (-122.32829000000001 47.612755)
Medium Risk,Cascade/Eastlake,1925 5th Ave,Seattle,WA,98101,1928,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,POINT (-122.33846500000001 47.613275)
Medium Risk,Columbia City,5718 Rainier Ave S,Seattle,WA,98118,1919,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.277394 47.550657)
High Risk,Queen Anne,601 Queen Anne Ave N,Seattle,WA,98109,1925,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.35671400000001 47.624858)
Medium Risk,Capitol Hill,417 E Union St,Seattle,WA,98122,1930,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.325697 47.612991)
High Risk,Duwamish/SODO,2901 1st Ave S,Seattle,WA,98134,1927,1,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.334216 47.577428)
Medium Risk,First Hill,1018 9th Ave,Seattle,WA,98104,1923,5,No visible retrofit,Residential,101+,Google Street View,POINT (-122.32780900000002 47.60891)
Medium Risk,North Beacon Hill/Jefferson Park,2507 Beacon Ave S,Seattle,WA,98144,1928,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.313516 47.580681)
Medium Risk,Roxhill/Westwood,9434 Delridge Way SW,Seattle,WA,98106,1926,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.35585800000001 47.518151)
Medium Risk,Belltown,2231 2nd Ave,Seattle,WA,98121,1900,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys,POINT (-122.345477 47.613914)
Medium Risk,Greenwood/Phinney Ridge,517 NW 65th St,Seattle,WA,98117,1922,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.36360199999999 47.675989)
Medium Risk,Madrona/Leschi,1408 34th Ave,Seattle,WA,98122,1924,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.28931500000002 47.613345)
Medium Risk,Capitol Hill,1424 10th Ave,Seattle,WA,98122,1913,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31943899999999 47.613607)
High Risk,Capitol Hill,1531 Melrose Ave,Seattle,WA,98122,1912,1,Substantial Alteration,Public Assembly,101+,Field Visit,POINT (-122.327915 47.61474)
Medium Risk,Univ Dist,4508 University Way NE,Seattle,WA,98105,1925,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.313127 47.661625)
Medium Risk,Ravenna/Bryant,8014 15th Ave NE,Seattle,WA,98115,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.312188 47.687212)
Medium Risk,Cascade/Eastlake,922 Virginia St,Seattle,WA,98101,1926,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.33505400000001 47.616921)
Medium Risk,Miller Park,1914 E Mercer St,Seattle,WA,98112,1912,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.30664500000002 47.624425)
Medium Risk,Univ Dist,4534 University Way NE,Seattle,WA,98105,1927,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.31311299999999 47.662352)
Medium Risk,Ballard,5101 Ballard Ave NW,Seattle,WA,98107,1905,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.380994 47.66454400000001)
Medium Risk,Pioneer Square/Chinatown International District,400 Maynard Ave S,Seattle,WA,98104,1916,3,Visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.325073 47.598978)
Medium Risk,Downtown,1513 1st Ave,Seattle,WA,98101,1942,4,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.340481 47.60931)
Medium Risk,Belltown,2401 1st Ave,Seattle,WA,98121,1900,4,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.347858 47.614154)
Medium Risk,Capitol Hill,1815 15th Ave,Seattle,WA,98122,1929,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.312774 47.618166)
Medium Risk,Central Area/Squire Park,2300 E Spruce St,Seattle,WA,98122,1907,1,No visible retrofit,Public Assembly,11-100,Field Visit,POINT (-122.30203600000002 47.603523)
Medium Risk,Pioneer Square/Chinatown International District,667 S Jackson St,Seattle,WA,98104,1915,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.324125 47.599187)
High Risk,Downtown,1007 1st Ave,Seattle,WA,98104,1901,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,POINT (-122.33646 47.604896)
Medium Risk,Green Lake,8061 Densmore Ave N,Seattle,WA,98103,1929,1,Permitted Retrofit,Government,11-100,Google Street View,POINT (-122.33775000000001 47.688019)
High Risk,Duwamish/SODO,111 S Jackson St,Seattle,WA,98104,1904,5,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.33353700000002 47.59921000000001)
Medium Risk,Fremont,4316 Fremont Ave N,Seattle,WA,98103,1923,1,No visible retrofit,Commercial,1-10,Field Visit,POINT (-122.350026 47.659897)
Medium Risk,Capitol Hill,417 13th Ave E,Seattle,WA,98102,1910,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31570400000001 47.622531)
