source,GEOID,Year,variable,mean,up,low
NA,Auburn-North,2005,Average household size among renters,2.1725429046735614,2.669677030880332,1.691593170831174
NA,Auburn-South,2005,Average household size among renters,2.110615181947432,2.607936929947532,1.6294785068909694
NA,Ballard,2005,Average household size among renters,2.099116313224876,2.5965053621595504,1.6181983571847967
NA,Beacon/Gtown/S.Park,2005,Average household size among renters,1.8083752965919335,2.305266286838359,1.327401132647445
NA,Bear Creek/Carnation/Duvall,2005,Average household size among renters,2.2056396454331577,2.6960089851267672,1.7273307512458909
NA,Bellevue-Central,2005,Average household size among renters,2.5002918172320805,2.9978328446371805,2.019484383555133
NA,Bellevue-NE,2005,Average household size among renters,2.089385852098115,2.5864968215357282,1.608553122485492
NA,Bellevue-South,2005,Average household size among renters,2.8043254608122803,3.3019457216196955,2.3236411738338343
NA,Bellevue-West,2005,Average household size among renters,1.8792377750656504,2.3764490819959896,1.3982785918802838
NA,Black Diamond/Enumclaw/SE County,2005,Average household size among renters,1.9904653672150392,2.480709312021864,1.51211355722163
NA,Bothell/Woodinville,2005,Average household size among renters,1.5217145176087463,2.0186828283892,1.0403487326085992
NA,Burien,2005,Average household size among renters,2.3351962799314157,2.8325249770870125,1.8543987186008961
NA,Capitol Hill/E.lake,2005,Average household size among renters,1.9225257654998806,2.4196728283086943,1.4416072929238148
NA,Central Seattle,2005,Average household size among renters,1.9792785711637093,2.474539069303386,1.508316968339335
NA,Covington/Maple Valley,2005,Average household size among renters,2.28351499985631,2.7738976090305196,1.8053578064790055
NA,Delridge,2005,Average household size among renters,1.7570043580801473,2.2541077896007424,1.2757427701625716
NA,Des Moines/Normandy Park,2005,Average household size among renters,2.361522496895684,2.85892077363581,1.8806868633386646
NA,Downtown,2005,Average household size among renters,1.9693292728518172,2.466515590373267,1.4883636112968244
NA,East Federal Way,2005,Average household size among renters,2.108863615568707,2.606044217976541,1.6279467999484452
NA,Fairwood,2005,Average household size among renters,3.1062033505373443,3.6039984129470337,2.625654663521554
NA,Fed Way-Central/Military Rd,2005,Average household size among renters,2.306291026717913,2.8037265884920206,1.8252467644859005
NA,Fed Way-Dash Point/Woodmont,2005,Average household size among renters,2.2216828795209156,2.7190054172752367,1.7407387825201195
NA,Fremont/Greenlake,2005,Average household size among renters,2.090904321135089,2.588042996196471,1.610132023702603
NA,Issaquah,2005,Average household size among renters,2.4891505331333437,2.9865677977984455,2.0083908551245693
NA,Kenmore/LFP,2005,Average household size among renters,1.7429156822644336,2.2400350148940493,1.261768725097249
NA,Kent-East,2005,Average household size among renters,2.7992390203973265,3.296729074649251,2.3186758144007715
NA,Kent-SE,2005,Average household size among renters,2.4144913700015374,2.9117649354968282,1.93370704645762
NA,Kent-West,2005,Average household size among renters,2.1740641910399945,2.671260155151708,1.6932911168649143
NA,Kirkland,2005,Average household size among renters,1.9964269021463485,2.493474994871289,1.515563649145099
NA,Kirkland North,2005,Average household size among renters,1.71557139585344,2.212505161129925,1.2344946161936647
NA,Mercer Isle/Pt Cities,2005,Average household size among renters,2.8164798306969763,3.31412907857681,2.3357402133334357
NA,NE Seattle,2005,Average household size among renters,2.0971614945272865,2.5876335159517785,1.6259219659742146
NA,Newcastle/Four Creeks,2005,Average household size among renters,2.3306903397115,2.821122752487619,1.85257688329516
NA,North Highline,2005,Average household size among renters,2.8170372660998764,3.3149672868796456,2.3361237535119384
NA,North Seattle,2005,Average household size among renters,2.106238909726636,2.596750008271201,1.6349711318105586
NA,NW Seattle,2005,Average household size among renters,2.0858687147564026,2.583159604582302,1.6049943026233324
NA,QA/Magnolia,2005,Average household size among renters,1.9052881261693673,2.4023309392345458,1.4243432910896876
NA,Redmond,2005,Average household size among renters,2.0394457694367585,2.5297349383872794,1.561085837650599
NA,Renton-East,2005,Average household size among renters,2.46729746774128,2.964660789157549,1.9866299058683432
NA,Renton-North,2005,Average household size among renters,2.5917839554076374,3.089270535601752,2.11112142412684
NA,Renton-South,2005,Average household size among renters,2.476803379061701,2.974050336727184,1.9962103179619028
NA,Sammamish,2005,Average household size among renters,2.0852478153385925,2.582344384932548,1.604308813867028
NA,SE Seattle,2005,Average household size among renters,1.61069308243983,2.1077811840492924,1.129513577107932
